source,target_preferred,status
spring washer,пружинная шайба,candidate
stabilizer bar,стабилизатор поперечной устойчивости,candidate
stabilizer bushing,втулка стабилизатора,candidate
stabilizer link,стойка стабилизатора,candidate
static imbalance,статический дисбаланс,candidate
stator,реактор гидротрансформатора,candidate
steel plate,стальной диск,candidate
steel wheel,стальное колесо,candidate
steering angle sensor,датчик угла поворота рулевого колеса,candidate
steering column,рулевая колонка,candidate
steering effort,усилие на рулевом колесе,candidate
steering gear,рулевой механизм,candidate
steering knuckle,поворотный кулак,candidate
steering motor,электродвигатель усилителя рулевого управления,candidate
steering rack,рулевой механизм реечного типа,reviewed
steering rack boot,защитный чехол рулевой рейки,candidate
steering shaft,рулевой вал,candidate
steering torque sensor,датчик крутящего момента рулевого управления,candidate
steering wheel,рулевое колесо,candidate
steering wheel free play,свободный ход рулевого колеса,candidate
stone-chip coating,антигравийное покрытие,candidate
structural adhesive,конструкционный клей,candidate
strut bearing,опорный подшипник амортизаторной стойки,candidate
strut mount,верхняя опора амортизаторной стойки,candidate
stud,шпилька,candidate
subframe,подрамник,candidate
suction line,всасывающая магистраль,candidate
summer tire,летняя шина,candidate
sun gear,солнечная шестерня,candidate
support,подпереть,reviewed
suspension strut,амортизаторная стойка,candidate
suspension travel,ход подвески,candidate
synchronizer,синхронизатор,candidate
synchronizer hub,ступица синхронизатора,candidate
synchronizer ring,блокирующее кольцо синхронизатора,candidate
synchronizer sleeve,муфта синхронизатора,candidate
system pressure,давление в системе,candidate
tapered roller bearing,конический роликовый подшипник,candidate
tappet,толкатель клапана,candidate
thermostat,термостат,candidate
thermostat housing,корпус термостата,candidate
thermostat opening and closing,открытие и закрытие термостата,candidate
thermostat valve,клапан термостата,candidate
thread engagement,длина зацепления резьбы,candidate
thread pitch,шаг резьбы,candidate
thread sealant,резьбовой герметик,candidate
threaded insert,резьбовая вставка,candidate
threadlocker,фиксатор резьбы,candidate
three-jaw puller,трёхзахватный съёмник,candidate
throttle position sensor,датчик положения дроссельной заслонки,candidate
thrust bearing,упорный подшипник,candidate
thrust washer,упорная шайба,candidate
tie rod,рулевая тяга,candidate
tie rod end,наконечник рулевой тяги,candidate
tighten the wheel nuts in a crisscross pattern,затянуть колёсные гайки крест-накрест,candidate
timing belt,ремень привода газораспределительного механизма,candidate
timing belt tensioner,натяжитель ремня привода ГРМ,candidate
timing chain,цепь привода газораспределительного механизма,candidate
timing chain guide,направляющая цепи привода ГРМ,candidate
timing chain tensioner,натяжитель цепи привода ГРМ,candidate
timing cover,крышка привода газораспределительного механизма,candidate
timing mark,установочная метка фаз газораспределения,candidate
timing sprocket,звёздочка привода ГРМ,candidate
tire,шина,candidate
tire aging,старение шины,candidate
tire bead,борт шины,candidate
tire changer,шиномонтажный станок,candidate
tire date code,код даты изготовления шины,candidate
tire inflation pressure,давление воздуха в шине,candidate
tire lever,монтажная лопатка,candidate
tire pressure monitoring system,система контроля давления в шинах,candidate
tire pressure sensor,датчик давления в шине,candidate
tire rotation,перестановка колёс,candidate
tire shoulder,плечевая зона шины,candidate
tire sidewall,боковина шины,candidate
tire size,размер шины,candidate
tire tread,протектор шины,candidate
tire valve stem,вентиль шины,reviewed
toe angle,угол схождения колёс,candidate
torque converter,гидротрансформатор,candidate
torque converter housing,корпус гидротрансформатора,candidate
torque converter lock-up clutch,блокировочная муфта гидротрансформатора,candidate
torque wrench,динамометрический ключ,candidate
torque-to-yield bolt,болт с контролируемой пластической деформацией,candidate
torsional vibration damper,демпфер крутильных колебаний,candidate
Torx bit,бита Torx,candidate
TPMS calibration,калибровка системы контроля давления в шинах,candidate
TPMS initialization,инициализация системы контроля давления в шинах,candidate
TPMS sensor,датчик системы контроля давления в шинах,candidate
transfer case,раздаточная коробка,candidate
transfer case housing,картер раздаточной коробки,candidate
transmission fluid,рабочая жидкость коробки передач,reviewed
transmission fluid temperature sensor,датчик температуры рабочей жидкости коробки передач,candidate
transmission housing,картер коробки передач,candidate
transmission oil,трансмиссионное масло,candidate
transmission oil cooler,охладитель рабочей жидкости коробки передач,candidate
transmission oil pan,поддон коробки передач,reviewed
transmission range sensor,датчик диапазона коробки передач,candidate
tread block,блок протектора,candidate
tread depth,глубина рисунка протектора,candidate
tread groove,канавка протектора,candidate
tread separation,расслоение протектора,candidate
tread wear indicator,индикатор износа протектора,candidate
trim remover,съёмник облицовки,candidate
tripod joint,трипоидный шарнир,candidate
tubeless tire,бескамерная шина,candidate
tubeless valve,вентиль бескамерной шины,candidate
turbine wheel,турбинное колесо гидротрансформатора,candidate
two-jaw puller,двухзахватный съёмник,candidate
uncured foam,неотверждённая пена,candidate
underbody coating,антикоррозионное покрытие днища,candidate
underheating,недостаточный прогрев,candidate
underinflation,недостаточное давление в шине,candidate
uneven tire wear,неравномерный износ шины,candidate
union fitting,соединительный штуцер,candidate
universal joint,карданный шарнир,candidate
universal joint adapter,карданный переходник,candidate
upper control arm,верхний рычаг подвески,candidate
upper radiator hose,верхний шланг радиатора,candidate
used engine oil,отработанное моторное масло,candidate
used oil filter,отработанный масляный фильтр,candidate
vacuum brake booster,вакуумный усилитель тормозов,candidate
valve body,гидроблок,candidate
valve cap,колпачок вентиля,candidate
valve clearance,зазор в клапанном механизме,candidate
valve collet,сухарь клапана,candidate
valve core,золотник вентиля,candidate
valve face,рабочая фаска клапана,candidate
valve guide,направляющая втулка клапана,candidate
valve lifter,толкатель клапана,candidate
valve seat,седло клапана,candidate
valve spool,золотник клапана,candidate
valve spring,пружина клапана,candidate
valve spring compressor,рассухариватель клапанов,candidate
valve spring retainer,тарелка пружины клапана,candidate
valve stem seal,маслосъёмный колпачок,candidate
valve train,клапанный механизм,candidate
vane pump,пластинчатый насос,candidate
variable valve timing,система изменения фаз газораспределения,candidate
variable valve timing solenoid,электромагнитный клапан системы изменения фаз газораспределения,candidate
vent,стравить воздух,reviewed
vent the system,стравить давление из системы,candidate
verify connector locking,проверить фиксацию разъёма,candidate
viscous coupling,вязкостная муфта,candidate
washer,шайба,candidate
water pump,насос охлаждающей жидкости,candidate
wave washer,волнистая шайба,candidate
weld drill,сверло для сварных точек,candidate
weld remover,инструмент для удаления сварных точек,candidate
weld-through primer,токопроводящий сварочный грунт,candidate
welding clamp,сварочный зажим,candidate
wheel,колесо,candidate
wheel alignment,углы установки колёс,reviewed
wheel balance weight,балансировочный груз,candidate
wheel balancer,балансировочный станок,candidate
wheel bearing,подшипник ступицы колеса,candidate
wheel bolt,колёсный болт,candidate
wheel cover,колёсный колпак,candidate
wheel cylinder,колёсный тормозной цилиндр,candidate
wheel disc,диск колеса,candidate
wheel hub,ступица колеса,candidate
wheel imbalance,дисбаланс колеса,candidate
wheel nut,колёсная гайка,candidate
wheel offset,вылет колеса,candidate
wheel rim,обод колеса,candidate
wheel runout,биение колеса,candidate
wheel speed sensor,датчик частоты вращения колеса,candidate
wheel stud,шпилька колеса,candidate
winter tire,зимняя шина,candidate
wiper seal,грязесъёмное уплотнение,candidate
wiping cloth,обтирочная ветошь,candidate
wire clip,проволочный фиксатор,candidate
working condition,исправное состояние,candidate
workshop tools and equipment,инструменты и оборудование мастерской,candidate
zinc-rich primer,цинконаполненный грунт,candidate
