source,target_preferred,status
dry with compressed air,высушить сжатым воздухом,candidate
DTC,DTC,approved
dual clutch,двойное сцепление,candidate
dual-clutch transmission,роботизированная коробка передач с двумя сцеплениями,candidate
dual-mass flywheel,двухмассовый маховик,candidate
dual-zone climate control,двухзонный климат-контроль,candidate
dust boot,пылезащитный чехол,candidate
dust lip,пылезащитная кромка манжеты,candidate
dynamic driving task,динамическая задача вождения,candidate
dynamic imbalance,динамический дисбаланс,candidate
ECU,ЭБУ,approved
ECU reset,сброс электронного блока управления,candidate
ego vehicle,собственный автомобиль,candidate
electric drive unit,электрический приводной агрегат,candidate
electric heating glass defrosting,электрообогрев стекла,candidate
electric machine,электрическая машина,candidate
electric parking brake,электрический стояночный тормоз,candidate
electric power steering,электроусилитель рулевого управления,candidate
electric shock,поражение электрическим током,candidate
electric shock protection,защита от поражения электрическим током,candidate
electric vehicle communication controller,контроллер связи электромобиля,candidate
electric vehicle supply equipment,оборудование питания электромобиля,candidate
electrical equipment,электрооборудование,candidate
electrical fault,электрическая неисправность,candidate
electronic control unit,электронный блок управления,candidate
electronic stability control,система электронной стабилизации,candidate
end-to-end protection,сквозная защита данных,candidate
energize the horn relay,подать питание на реле звукового сигнала,candidate
engage,ввести в зацепление,candidate
engage the parking brake,включить стояночный тормоз,candidate
engine assembly,двигатель в сборе,candidate
engine bottom shield,нижняя защита двигателя,candidate
engine control module,блок управления двигателем,candidate
engine coolant,охлаждающая жидкость двигателя,candidate
engine coolant temperature,температура охлаждающей жидкости двигателя,candidate
engine coolant temperature sensor,датчик температуры охлаждающей жидкости двигателя,candidate
engine cooling system,система охлаждения двигателя,candidate
engine mount,опора двигателя,candidate
engine mounting bracket,кронштейн опоры двигателя,candidate
engine no-load condition,работа двигателя без нагрузки,candidate
engine oil,моторное масло,candidate
engine oil level check,проверка уровня моторного масла,candidate
engine oil pan,масляный поддон двигателя,reviewed
engine oil sump,масляный поддон двигателя,candidate
engine speed remains stable,частота вращения двигателя остаётся стабильной,candidate
engine switched off,двигатель выключен,candidate
engine valve stem,стержень клапана двигателя,reviewed
engine wire harness,жгут проводов двигателя,candidate
ensure the connector is fully engaged,убедиться что разъём полностью соединён,candidate
epoxy primer,эпоксидный грунт,candidate
etch primer,кислотный грунт,candidate
evacuate the system,вакуумировать систему,candidate
evaporative emission canister,адсорбер паров топлива,candidate
evaporator,испаритель,candidate
evaporator temperature sensor,датчик температуры испарителя,candidate
even gear clutch,сцепление чётных передач,candidate
examine,проверить,candidate
excessive oil pressure,повышенное давление масла,candidate
execution management,управление выполнением,candidate
exhaust gas recirculation cooler,охладитель системы рециркуляции отработавших газов,candidate
exhaust gas recirculation valve,клапан рециркуляции отработавших газов,candidate
exhaust gas temperature sensor,датчик температуры отработавших газов,candidate
exhaust manifold,выпускной коллектор,candidate
exhaust valve,выпускной клапан,candidate
exhaust ventilation equipment,оборудование вытяжной вентиляции,candidate
expansion tank,расширительный бачок,candidate
expansion valve,терморегулирующий вентиль,candidate
extended-range electric vehicle,электромобиль с увеличенным запасом хода,candidate
extension bar,удлинитель,candidate
exterior rearview mirror heater,нагревательный элемент наружного зеркала заднего вида,candidate
exterior rearview mirror heating wire,нагревательный элемент наружного зеркала заднего вида,candidate
external leakage,наружная утечка,candidate
external retaining ring,наружное стопорное кольцо,candidate
extract,извлечь,candidate
eye protection equipment,средства защиты глаз,candidate
eyewash equipment,устройство для промывания глаз,candidate
fallback,резервный режим выполнения задачи вождения,candidate
fallback-ready user,"пользователь, готовый принять управление",candidate
fan control module,модуль управления вентилятором,candidate
fan motor,электродвигатель вентилятора,candidate
fan shroud,кожух вентилятора,candidate
fault memory,память неисправностей,candidate
faulty equipment,неисправное оборудование,candidate
feathered wear,пилообразный износ,candidate
feeler gauge,набор щупов,candidate
fibrous material,волокнистый материал,candidate
fill,заполнить,candidate
fill the cooling system,заполнить систему охлаждения,candidate
fill with hydraulic fluid,заполнить гидравлической жидкостью,candidate
fill with specified fluid,заправить рекомендованной рабочей жидкостью,candidate
fill with the specified oil,заправить указанным маслом,candidate
fillet weld,угловой сварной шов,candidate
filter bypass valve,перепускной клапан фильтра,candidate
filter element,фильтрующий элемент,candidate
filter housing,корпус фильтра,candidate
final drive,главная передача,candidate
final drive ratio,передаточное число главной передачи,candidate
fine steel wool,тонкая стальная вата,candidate
finger-tighten,затянуть пальцами,candidate
finishing putty,финишная шпатлёвка,candidate
fire hazard,пожароопасность,candidate
fire safety requirements,требования пожарной безопасности,candidate
first aid,первая помощь,candidate
flagship model,топовая комплектация,candidate
flammable solvent,легковоспламеняющийся растворитель,candidate
flange,фланец панели,candidate
flange bolt,фланцевый болт,candidate
flange nut,фланцевая гайка,candidate
flange yoke,фланцевая вилка,candidate
flanged joint,фланцевое соединение,candidate
flare,развальцевать,candidate
flare nut wrench,разрезной ключ для трубок,candidate
flat spot,местная деформация протектора,candidate
flat surface,ровная горизонтальная площадка,candidate
flat washer,плоская шайба,candidate
flat-blade screwdriver,шлицевая отвёртка,candidate
flexible hose,гибкий шланг,candidate
flexplate,ведущий диск гидротрансформатора,candidate
FlexRay,FlexRay,candidate
floor crossmember,поперечина пола,candidate
floor duct,напольный воздуховод,candidate
floor harness assembly,жгут проводов пола в сборе,candidate
floor mat,коврик пола,candidate
flow control valve,регулятор расхода,candidate
flow rate,расход рабочей жидкости,candidate
flow sensor,датчик расхода,candidate
flow-form screw,формующий винт,candidate
fluid aeration,аэрация рабочей жидкости,candidate
fluid reservoir,бачок рабочей жидкости,candidate
fluorescent dye,флуоресцентный краситель,candidate
flush,промыть,candidate
flush the cooling system,промыть систему охлаждения,candidate
flywheel,маховик,candidate
flywheel ring gear,зубчатый венец маховика,reviewed
foam insulator,пеноматериал шумоизоляции,candidate
foam pad,пенополиуретановая прокладка,candidate
fold back,отогнуть,candidate
for compliance with standards,на соответствие нормативным значениям,candidate
form-in-place gasket,формируемая на месте прокладка,candidate
forward clutch,муфта переднего хода,candidate
forward collision warning,предупреждение о фронтальном столкновении,candidate
freedom from interference,независимость от взаимного влияния,candidate
freeze frame data,данные стоп-кадра,candidate
freezing point,температура замерзания,candidate
fresh air area,зона с чистым воздухом,candidate
friction plate,фрикционный диск,candidate
front apron panel,передняя панель брызговика,candidate
front bumper reinforcement,усилитель переднего бампера,candidate
front compartment harness assembly,жгут проводов моторного отсека в сборе,reviewed
front crankshaft oil seal,передний сальник коленчатого вала,candidate
front crankshaft seal,передний сальник коленчатого вала,candidate
front crossmember,передняя поперечина,candidate
front door inner panel,внутренняя панель передней двери,candidate
front door outer panel,наружная панель передней двери,candidate
front fender,переднее крыло,candidate
front floor,передняя панель пола,candidate
front floor middle channel assembly,центральный тоннель передней панели пола в сборе,candidate
front floor panel,передняя панель пола,candidate
front floor upper side member,верхний лонжерон передней панели пола,candidate
front headrest guide sleeve,направляющая втулка подголовника переднего сиденья,candidate
front headrest locking guide sleeve,фиксирующая направляющая втулка подголовника переднего сиденья,candidate
front passenger seat sliding rail,салазки сиденья переднего пассажира,candidate
front power seat assembly,переднее сиденье с электроприводом в сборе,candidate
front seat,переднее сиденье,candidate
front seat front cross member assembly,передняя поперечина переднего сиденья в сборе,candidate
front seat headrest,подголовник переднего сиденья,candidate
front seat rear cross member assembly,задняя поперечина переднего сиденья в сборе,candidate
front seat sliding rail,салазки переднего сиденья,candidate
front section of the seat sliding rail,передняя часть салазок сиденья,candidate
front side member,передний лонжерон,candidate
front side member body assembly,лонжерон передней части кузова в сборе,candidate
front track width,колея передних колёс,candidate
front wall lower panel assembly,нижняя панель передней стенки в сборе,candidate
front wall upper sub-assembly,верхний узел передней стенки,candidate
front windscreen heated defrost control,управление электрообогревом ветрового стекла,candidate
front windscreen heater,нагревательный элемент ветрового стекла,candidate
front-to-rear rotation,перестановка колёс спереди назад,candidate
fuel cell vehicle,автомобиль на топливных элементах,candidate
fuel feed line,топливоподающий трубопровод,candidate
fuel filler pipe,наливная труба топливного бака,candidate
fuel filter,топливный фильтр,candidate
fuel injector,топливная форсунка,candidate
fuel leak check,проверка на утечки топлива,candidate
fuel leakage trace,следы утечки топлива,candidate
fuel level sensor,датчик уровня топлива,candidate
fuel metering valve,дозирующий клапан топлива,candidate
fuel pipe joint,соединение топливопровода,candidate
fuel pressure gauge,манометр давления топлива,candidate
fuel pressure regulator,регулятор давления топлива,candidate
fuel pressure sensor,датчик давления топлива,candidate
fuel pump module,модуль топливного насоса,reviewed
fuel rail,топливная рампа,candidate
fuel rail injector subassembly,топливная рампа с форсунками в сборе,candidate
fuel return line,топливопровод обратной подачи,reviewed
fuel storage equipment,оборудование для хранения топлива,candidate
fuel supply line,топливопровод подачи топлива,reviewed
fuel supply pipe,топливоподающий трубопровод,candidate
fuel tank,топливный бак,candidate
fuel tank body,корпус топливного бака,candidate
fuel tank pressure sensor,датчик давления в топливном баке,candidate
fuel vapor,пары топлива,candidate
functional cluster,функциональный кластер,candidate
functional safety,функциональная безопасность,candidate
functional scenario,функциональный сценарий,candidate
fundamental frequency,основная частота,candidate
fuse,предохранитель,candidate
fuse box,блок предохранителей,candidate
fusible link,плавкая вставка,candidate
gasket,прокладка,candidate
gasoline particulate filter,фильтр твёрдых частиц бензинового двигателя,candidate
gasoline vapor concentration,концентрация паров бензина,candidate
gear backlash,боковой зазор в зацеплении,candidate
gear oil,трансмиссионное масло,candidate
gear pump,шестерённый насос,candidate
gear set,комплект шестерён,candidate
gear wheel,зубчатое колесо,candidate
General information,Общие сведения,approved
general ventilation equipment,общеобменная вентиляция,candidate
glass heating temperature,температура нагрева стекла,candidate
glove compartment,вещевой ящик,candidate
glove compartment damper,демпфер вещевого ящика,candidate
glow plug,свеча накаливания,candidate
glow plug control module,блок управления свечами накаливания,candidate
grind,шлифовать,deprecated
grind the surface,шлифовать поверхность,reviewed
grind the weld,зачистить сварной шов,reviewed
grind the welds flush,зачистить сварные швы заподлицо,candidate
grinding wheel,шлифовальный круг,candidate
ground circuit,цепь массы,candidate
ground clearance,дорожный просвет,candidate
ground point,точка массы,candidate
ground strap,перемычка массы,candidate
ground truth,эталонные данные,candidate
half shaft,полуось,candidate
hand-tighten,затянуть от руки,candidate
hardware security module,аппаратный модуль безопасности,candidate
hazard analysis and risk assessment,анализ опасностей и оценка рисков,candidate
head restraint,подголовник,candidate
headliner,обивка потолка,candidate
hearing protection equipment,средства защиты органов слуха,candidate
heat dissipation opening,проход для отвода тепла,candidate
heated oxygen sensor,подогреваемый датчик кислорода,candidate
heater core,радиатор отопителя,candidate
heater hose,шланг отопителя,candidate
heater unit,блок отопителя,candidate
heating equipment,нагревательное оборудование,candidate
heating resistance wire,резистивная нагревательная нить,candidate
heating ventilation and air conditioning,система отопления вентиляции и кондиционирования,candidate
height control valve,клапан регулирования высоты кузова,candidate
hem flange,завальцованный фланец,candidate
hem flange adhesive,клей для завальцованных соединений,candidate
hex key,шестигранный ключ,candidate
high range,повышающий ряд,candidate
high resistance connection,соединение с повышенным сопротивлением,candidate
high-decibel noise,шум высокого уровня,candidate
high-power electrical loads,мощные электрические потребители,candidate
high-pressure fuel pump,топливный насос высокого давления,candidate
high-pressure line,магистраль высокого давления,candidate
high-strength threadlocker,фиксатор резьбы высокой прочности,candidate
high-voltage battery,высоковольтная аккумуляторная батарея,candidate
high-voltage bus,высоковольтная шина,candidate
high-voltage interlock loop,контур блокировки высоковольтной цепи,candidate
highest temperature setting,максимальная заданная температура,candidate
highly flammable material,легковоспламеняющийся материал,candidate
hinge mounting hole,отверстие крепления петли,candidate
hold,удерживать,candidate
hold in position,удерживать в требуемом положении,candidate
hone,хонинговать,candidate
hood hinge reinforcement,усилитель крепления петли капота,candidate
hood inner panel,внутренняя панель капота,candidate
hood outer panel,наружная панель капота,candidate
hook into place,установить на крючок,candidate
horn button,кнопка звукового сигнала,candidate
horn circuit,цепь звукового сигнала,candidate
horn current consumption,потребляемый ток звукового сигнала,candidate
horn harness connector,разъём жгута проводов звукового сигнала,candidate
horn mounting bolt,болт крепления звукового сигнала,candidate
horn rated voltage,номинальное напряжение звукового сигнала,candidate
horn relay,реле звукового сигнала,candidate
horn relay actuation,срабатывание реле звукового сигнала,candidate
horn switch,выключатель звукового сигнала,candidate
horn system,звуковая сигнальная система,candidate
horn system working principle,принцип работы системы звукового сигнала,candidate
horn test current,ток при проверке звукового сигнала,candidate
horn tweeter,высокочастотный звуковой сигнал,candidate
horn warning signal,предупредительный звуковой сигнал,candidate
horn woofer,низкочастотный звуковой сигнал,candidate
hose clamp,хомут шланга,candidate
hot tire pressure,давление в нагретой шине,candidate
hub bolt,болт ступицы,candidate
hub bore,диаметр центрального отверстия,candidate
humidity sensor,датчик влажности,candidate
hybrid electric vehicle,гибридный электромобиль,candidate
hydraulic accumulator,гидроаккумулятор,reviewed
hydraulic circuit,гидравлический контур,candidate
hydraulic control unit,гидравлический блок управления,candidate
hydraulic cylinder,гидроцилиндр,candidate
hydraulic filter,гидравлический фильтр,candidate
hydraulic fluid,гидравлическая жидкость,candidate
hydraulic lash adjuster,гидрокомпенсатор зазора клапана,reviewed
hydraulic motor,гидромотор,candidate
hydraulic press,гидравлический пресс,candidate
hydraulic pump,гидравлический насос,candidate
hydraulic reservoir,гидравлический бак,candidate
hydraulic system,гидравлическая система,candidate
identity and access management,управление идентификацией и доступом,candidate
idle speed inspection,проверка частоты вращения холостого хода,candidate
idler gear,промежуточная шестерня,candidate
idler pulley,обводной ролик,candidate
ignition switch,выключатель зажигания,candidate
immobilizer coil,катушка иммобилайзера,candidate
impact socket,ударная торцовая головка,candidate
impeller,насосное колесо гидротрансформатора,candidate
impermeable gloves,непроницаемые перчатки,candidate
implausible signal,недостоверный сигнал,candidate
in-vehicle temperature sensor,датчик температуры воздуха в салоне,candidate
indirect contact protection,защита от косвенного контакта,candidate
inflate the tire,накачать шину,candidate
initialize,инициализировать,candidate
injector leak-off line,сливной топливопровод форсунок,candidate
inner brake pad,внутренняя тормозная колодка,candidate
inner CV joint,внутренний ШРУС,candidate
inner liner,герметизирующий слой шины,candidate
inner panel,внутренняя панель,candidate
inner rocker panel,внутренняя панель порога,candidate
inner sliding rail,внутренняя направляющая салазок,candidate
inner sliding rail rear end trim cover,задняя декоративная крышка внутренней направляющей салазок,candidate
input output control by identifier,управление вводом-выводом по идентификатору,candidate
input shaft,первичный вал,candidate
input signal,входной сигнал,candidate
insert,вставить,candidate
inside door handle,внутренняя ручка двери,candidate
inside marking,маркировка внутренней стороны,candidate
inspect,проверить,reviewed
inspect pad thickness,проверить толщину тормозных колодок,candidate
inspect the hose for cracks,проверить шланг на наличие трещин,candidate
inspect the tread,проверить состояние протектора,candidate
Inspection,Проверка,approved
install,установить,candidate
install a new valve,установить новый вентиль,candidate
install and tighten the horn mounting bolt,установить и затянуть болт крепления звукового сигнала,candidate
install flush,установить заподлицо,candidate
install in the reverse order of removal,"установить в порядке, обратном снятию",reviewed
install squarely,установить без перекоса,candidate
install the floor harness fixing clips,установить фиксаторы жгута проводов пола,candidate
install the rivet,установить заклёпку,reviewed
install with the lip facing inward,установить рабочей кромкой внутрь,candidate
install with the spring side inward,установить стороной с пружиной внутрь,candidate
installation condition,состояние установки,candidate
installer,установочная оправка,candidate
instrument cluster,комбинация приборов,candidate
instrument panel,панель приборов,candidate
instrument panel garnish,декоративная накладка панели приборов,candidate
instrument panel mounting bracket assembly,кронштейн крепления панели приборов в сборе,candidate
instrument panel reinforcement,усилитель панели приборов,candidate
insulation resistance,сопротивление изоляции,candidate
intake air duct,воздуховод впускной системы,reviewed
intake air temperature sensor,датчик температуры впускного воздуха,candidate
intake manifold,впускной коллектор,candidate
intake valve,впускной клапан,candidate
intercooler,охладитель наддувочного воздуха,candidate
intercooler hose,шланг охладителя наддувочного воздуха,candidate
interior floor carpet,напольное ковровое покрытие салона,candidate
interior rearview mirror trim cover,декоративная крышка внутреннего зеркала заднего вида,candidate
interlock mechanism,механизм блокировки,candidate
intermediate steering shaft,промежуточный рулевой вал,candidate
intermittent fault,периодически возникающая неисправность,candidate
internal circuit engagement,замыкание внутренних цепей переключателя,candidate
internal leakage,внутренняя утечка,candidate
internal retaining ring,внутреннее стопорное кольцо,candidate
intrusion detection system,система обнаружения вторжений,candidate
intrusion detection system manager,менеджер системы обнаружения вторжений,candidate
isolation resistance,сопротивление изоляции,candidate
jack the vehicle,поднять автомобиль домкратом,candidate
joint boot,защитный чехол шарнира,candidate
junction connector,соединительный разъём,candidate
keep hands away from moving parts,не приближать руки к движущимся деталям,candidate
key management,управление ключами,candidate
keyless antenna fixing screw,винт крепления антенны системы бесключевого доступа,candidate
keyless vehicle antenna,антенна системы бесключевого доступа,candidate
kick panel,боковая панель пространства для ног,candidate
lane boundary,граница полосы движения,candidate
lane departure warning,предупреждение о выходе из полосы,candidate
lane keeping assistance,помощь в удержании полосы,candidate
lap,притереть,candidate
lap joint,соединение внахлёст,candidate
laser brazing,лазерная пайка,candidate
lateral runout,осевое биение,candidate
lay shaft,промежуточный вал,candidate
leak detection,поиск утечек,candidate
leak-down test,проверка герметичности цилиндра,candidate
learn,выполнить обучение,candidate
left and right removal methods are similar,порядок снятия с левой и правой сторон одинаков,candidate
left front seat assembly,левое переднее сиденье в сборе,candidate
left front seat left guard,левый боковой кожух левого переднего сиденья,candidate
left front seat right guard,правый боковой кожух левого переднего сиденья,candidate
left rear side member reinforcement rear connecting plate,задняя соединительная пластина усилителя левого заднего лонжерона,candidate
lever out,извлечь рычагом,candidate
licensed waste processor,лицензированная организация по обращению с отходами,candidate
lift,поднять,candidate
lift and support the vehicle,поднять и надёжно установить автомобиль на опоры,candidate
lift off,снять поднятием,candidate
lifting and jacking of vehicles,подъём автомобиля подъёмником и домкратом,candidate
limited-slip differential,дифференциал повышенного трения,candidate
LIN bus,шина LIN,candidate
line pressure,магистральное давление,candidate
lip seal,манжетное уплотнение,candidate
liquid gasket,жидкая прокладка,candidate
listen for the locking click,убедиться в наличии щелчка фиксатора,candidate
live data,текущие параметры,candidate
load index,индекс нагрузки,candidate
local interconnect network,локальная межкомпонентная сеть,candidate
locating pin,направляющий штифт,candidate
lock,зафиксировать,candidate
lock in position,зафиксировать в требуемом положении,candidate
lock washer,стопорная шайба,candidate
locking pliers,зажимные клещи,candidate
locking wheel nut,секретная колёсная гайка,candidate
locknut,контргайка,candidate
logical scenario,логический сценарий,candidate
long block,двигатель без навесного оборудования,candidate
loosen,ослабить,candidate
looseness or instability,ослабление крепления или неустойчивость,candidate
low oil pressure,низкое давление масла,candidate
low range,понижающий ряд,candidate
low-pressure fuel pump,топливный насос низкого давления,candidate
low-pressure line,магистраль низкого давления,candidate
low-strength threadlocker,фиксатор резьбы низкой прочности,candidate
lower,опустить,candidate
lower anchor,нижнее крепление ремня,candidate
lower control arm,нижний рычаг подвески,candidate
lower radiator hose,нижний шланг радиатора,candidate
lower the headliner,опустить обивку потолка,candidate
lower the vehicle to the ground,опустить автомобиль на землю,candidate
lower tie bar,нижняя поперечина рамки радиатора,candidate
lubricate,смазать,candidate
lubricate the sealing lip,смазать рабочую кромку манжеты,candidate
lubricate with clean engine oil,смазать чистым моторным маслом,candidate
lubricating grease,консистентная смазка,candidate
lubrication system,система смазки,candidate
luggage compartment cover plate,панель пола багажного отделения,candidate
luggage compartment lock catch mounting hole,отверстие крепления ответной части замка багажного отделения,candidate
luggage compartment side trim panel assembly,боковая облицовка багажного отделения в сборе,candidate
luggage compartment trim,облицовка багажного отделения,candidate
luggage compartment trim panel assembly,облицовка багажного отделения в сборе,candidate
luggage floor panel,панель пола багажного отделения,candidate
lumbar support,поясничная опора,reviewed
lumbar support adjustment button ring,декоративное кольцо кнопки регулировки поясничной поддержки,candidate
machine,обработать механически,candidate
machine screw,машинный винт,candidate
MAG welding,сварка MAG,candidate
main bearing,коренной подшипник,candidate
main bearing cap,крышка коренного подшипника,candidate
main bearing shell,вкладыш коренного подшипника,candidate
main journal,коренная шейка,candidate
main relay,главное реле,candidate
main shaft,главный вал,candidate
maintain engine speed,поддерживать заданную частоту вращения двигателя,candidate
make a plug weld,выполнить электрозаклёпочную сварку,reviewed
make plug welds,выполнить электрозаклёпочные сварные соединения,candidate
make resistance spot welds,выполнить контактную точечную сварку,candidate
make spot welds,выполнить точечную сварку,reviewed
make sure the ring is fully seated,убедиться что кольцо полностью вошло в канавку,candidate
manifold absolute pressure sensor,датчик абсолютного давления во впускном коллекторе,candidate
manual transmission,механическая коробка передач,candidate
manual valve,клапан ручного выбора диапазона,candidate
map lamp,лампа местного освещения,candidate
mark the installed position,пометить установленное положение,candidate
mass air flow sensor,датчик массового расхода воздуха,candidate
match the installation position,совместить установочное положение,candidate
matchmark,монтажная метка,candidate
mating surface,сопрягаемая поверхность,candidate
maximum airflow,максимальная подача воздуха,candidate
maximum inflation pressure,максимальное давление накачивания,candidate
maximum load,максимально допустимая нагрузка,reviewed
maximum working voltage,максимальное рабочее напряжение,candidate
measure,измерить,candidate
measure backlash,измерить боковой зазор,candidate
measure disc runout,измерить биение тормозного диска,candidate
measure the clearance,измерить зазор,candidate
measure the end play,измерить осевой зазор,candidate
measure the resistance,измерить сопротивление,candidate
measure the runout,измерить биение,candidate
measure the voltage,измерить напряжение,candidate
measure tread depth,измерить глубину рисунка протектора,candidate
mechanical fault,механическая неисправность,candidate
mechanical seal,торцевое уплотнение,candidate
mechanical seat switch,механический переключатель регулировки сиденья,candidate
mechatronic unit,мехатронный модуль,candidate
medium-strength threadlocker,фиксатор резьбы средней прочности,candidate
memory position,запомненное положение сиденья,candidate
metal gasket,металлическая прокладка,candidate
microcontroller abstraction layer,уровень абстракции микроконтроллера,candidate
micrometer,микрометр,candidate
middle channel lower front reinforcing plate,нижняя передняя усиливающая пластина центрального тоннеля,candidate
middle channel reinforcing beam assembly,усилитель центрального тоннеля в сборе,candidate
middle channel reinforcing beam bracket assembly,кронштейн усилителя центрального тоннеля в сборе,candidate
middle floor front connecting plate assembly,передняя соединительная панель средней части пола в сборе,candidate
MIG brazing,пайка MIG,candidate
MIG plug weld,электрозаклёпка MIG,candidate
MIG welding,сварка MIG,candidate
mineral oil,минеральное масло,candidate
minimal risk condition,состояние минимального риска,candidate
minimal risk manoeuvre,манёвр минимального риска,candidate
minimum disc thickness,минимально допустимая толщина тормозного диска,candidate
mobile electrical equipment,переносное электрооборудование,candidate
mode door,заслонка распределения потоков воздуха,candidate
mode door actuator,привод заслонки распределения потоков,candidate
module programming,программирование блока управления,candidate
monitor the motor position,контролировать положение электродвигателя,candidate
monitor the switch signal,контролировать сигнал переключателя,candidate
motor forward rotation,вращение электродвигателя в прямом направлении,candidate
motor position,положение электродвигателя,candidate
motor reverse rotation,вращение электродвигателя в обратном направлении,candidate
mount the tire,установить шину на обод,candidate
mounting head,монтажная головка шиномонтажного станка,candidate
mounting hole,монтажное отверстие,candidate
move aside,отвести в сторону,candidate
move the component to the installation position,установить деталь в монтажное положение,candidate
move the horn to the installation position,установить звуковой сигнал в монтажное положение,candidate
move the seat to the front,переместить сиденье вперёд,candidate
move the seat to the installation position,переместить сиденье в положение установки,candidate
move the seat to the rear,переместить сиденье назад,candidate
multi-plate clutch,многодисковая муфта,candidate
multimeter,мультиметр,candidate
multipurpose grease,универсальная консистентная смазка,candidate
needle roller bearing,игольчатый подшипник,candidate
needle-nose pliers,длинногубцы,candidate
negative response code,код отрицательного ответа,candidate
negative terminal,отрицательная клемма,candidate
network management,управление сетью,candidate
network topology,топология сети,candidate
nitrogen oxide,оксиды азота,candidate
nominal dimension,номинальный размер,candidate
normally closed contact,нормально замкнутый контакт,candidate
normally open contact,нормально разомкнутый контакт,candidate
Note,Примечание,approved
note the installation direction,запомнить направление установки,candidate
nut,гайка,candidate
O-ring,уплотнительное кольцо круглого сечения,candidate
OBD,OBD,approved
object and event detection and response,обнаружение объектов и событий и реагирование на них,candidate
object classification,классификация объектов,candidate
observe the installation direction,соблюдать направление установки,candidate
observe the orientation,соблюдать ориентацию при установке,candidate
obstruction,посторонний предмет,candidate
occupant detection sensor,датчик присутствия пассажира,candidate
odd gear clutch,сцепление нечётных передач,candidate
odometer,одометр,candidate
oil capacity,заправочный объём масла,candidate
oil consumption,расход масла,candidate
oil control ring,маслосъёмное кольцо,candidate
oil cooler,масляный радиатор,candidate
oil dilution,разжижение масла топливом,candidate
oil drain plug,пробка сливного отверстия,candidate
oil filler plug,пробка заливного отверстия,candidate
oil filter,масляный фильтр,candidate
oil filter housing,корпус масляного фильтра,candidate
oil foaming,вспенивание масла,candidate
oil gallery,масляный канал,candidate
oil grade,класс моторного масла,candidate
oil inlet pipe,маслоподводящая трубка,candidate
oil jet,масляная форсунка,candidate
oil leak,утечка масла,candidate
oil leak check,проверка на утечки моторного масла,candidate
oil level,уровень масла,candidate
oil level plug,пробка контрольного отверстия уровня масла,candidate
oil pan,масляный поддон,deprecated
oil passage,канал подачи масла,candidate
oil pickup tube,маслоприёмная трубка,reviewed
oil pressure,давление масла,candidate
oil pressure relief valve,редукционный клапан давления масла,candidate
oil pressure sensor,датчик давления масла,candidate
oil pressure switch,датчик-сигнализатор давления масла,reviewed
oil pump,масляный насос,candidate
oil pump drive,привод масляного насоса,candidate
oil return pipe,маслоотводящая трубка,candidate
oil seal,манжетное уплотнение,reviewed
oil seepage,просачивание масла,candidate
oil separator,маслоотделитель,candidate
oil specification,спецификация моторного масла,candidate
oil starvation,масляное голодание,candidate
oil strainer,сетчатый фильтр маслоприёмника,reviewed
oil temperature,температура масла,candidate
oil viscosity,вязкость масла,candidate
on-board charger,бортовое зарядное устройство,candidate
on-board diagnostics,бортовая диагностика,candidate
open circuit,обрыв цепи,candidate
open flame,открытое пламя,candidate
open space,открытое пространство,candidate
open the engine compartment cover,открыть капот,candidate
open-circuit voltage,напряжение холостого хода,candidate
open-end wrench,рожковый ключ,candidate
operate the system,привести систему в действие,candidate
operating pressure,рабочее давление,candidate
operational design domain,область проектных условий эксплуатации,candidate
orifice tube,дроссельная трубка,candidate
outboard seat adjustment switch,наружный переключатель регулировки сиденья,candidate
outer brake pad,наружная тормозная колодка,candidate
outer CV joint,наружный ШРУС,candidate
outer panel,наружная панель,candidate
outer rocker panel,наружная панель порога,candidate
output shaft,вторичный вал,candidate
output signal,выходной сигнал,candidate
outside marking,маркировка наружной стороны,candidate
over-the-air update,обновление по беспроводному каналу,candidate
overflow tank,переливной бачок,candidate
overhead console,потолочная консоль,candidate
overhead console unit,потолочная консоль в сборе,candidate
overheating,перегрев,candidate
overinflation,повышенное давление в шине,candidate
overlap joint,нахлёсточное соединение,candidate
overload damage,повреждение вследствие перегрузки,candidate
overrunning clutch,обгонная муфта,candidate
oxygen sensor,датчик кислорода,candidate
panel bonding adhesive,клей для соединения кузовных панелей,candidate
panel clamp,зажим для кузовных панелей,candidate
parameter coding,кодирование параметров,candidate
parasitic current draw,ток утечки при выключенном зажигании,candidate
parcel shelf,полка багажного отделения,candidate
park the vehicle on level ground,установить автомобиль на ровной горизонтальной площадке,candidate
parking brake actuator,исполнительный механизм стояночного тормоза,candidate
parking brake cable,трос стояночного тормоза,candidate
parking brake cable mounting plate assembly,панель крепления троса стояночного тормоза в сборе,candidate
parking brake lever,рычаг стояночного тормоза,candidate
parking manoeuvre,парковочный манёвр,candidate
partial networking,частичный сетевой режим,candidate
passenger seat,сиденье переднего пассажира,candidate
passenger seat assembly procedure,сборка сиденья переднего пассажира,candidate
passenger seat disassembly,разборка сиденья переднего пассажира,candidate
passenger seat module,модуль сиденья переднего пассажира,candidate
peen,расклепать,candidate
penetrating oil,проникающая смазка,candidate
perception stack,стек восприятия окружающей обстановки,candidate
perform a road test,выполнить дорожное испытание,candidate
perform adjustment if necessary,при необходимости выполнить регулировку,candidate
perform in reverse order,выполнить в обратной последовательности,candidate
