source,target_preferred,status,category,source_id,confidence,source_document,term_type,alternate_targets
cooling fan speed,частота вращения вентилятора системы охлаждения,candidate,cooling,N165_D2_CORPUS,high,N165_CORPUS,term,
cooling fin,охлаждающая пластина,candidate,cooling,N165_D2_CORPUS,medium,N165_CORPUS,term,
cooling module,модуль охлаждения,candidate,cooling,N165_D2_CORPUS,high,N165_CORPUS,term,
cooling system,система охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
cooling system pressure,давление в системе охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
do not remove the cap when hot,не снимать крышку на горячем двигателе,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
drain the coolant,слить охлаждающую жидкость,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
engine coolant,охлаждающая жидкость двигателя,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
engine coolant temperature,температура охлаждающей жидкости двигателя,candidate,cooling,N165_D2_CORPUS,high,N165_CORPUS,term,
engine coolant temperature sensor,датчик температуры охлаждающей жидкости двигателя,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
engine cooling system,система охлаждения двигателя,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
expansion tank,расширительный бачок,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fan control module,модуль управления вентилятором,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fan motor,электродвигатель вентилятора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fan shroud,кожух вентилятора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fill the cooling system,заполнить систему охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
flush the cooling system,промыть систему охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
freezing point,температура замерзания,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
heat dissipation opening,проход для отвода тепла,candidate,cooling,N165_D2_CORPUS,medium,N165_CORPUS,term,
heater hose,шланг отопителя,candidate,cooling,EDITORIAL_CORE_2026 | N165_D2_CORPUS,high,EDITORIAL_CORE_2026 | N165_CORPUS,term,
hose clamp,хомут шланга,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
lower radiator hose,нижний шланг радиатора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
overflow tank,переливной бачок,candidate,cooling,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
overheating,перегрев,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
pressure cap,герметичная крышка системы охлаждения,candidate,cooling,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
pressure test,проверка давлением,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
pressure tester,прибор для проверки давления,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
radiator,радиатор,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
radiator cap,крышка радиатора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
radiator core,сердцевина радиатора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
radiator fan,вентилятор радиатора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
radiator inlet hose,впускной шланг радиатора,candidate,cooling,N165_D2_CORPUS,high,N165_CORPUS,term,
radiator outlet hose,выпускной шланг радиатора,candidate,cooling,N165_D2_CORPUS,high,N165_CORPUS,term,
radiator tank,бачок радиатора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
thermostat,термостат,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
thermostat housing,корпус термостата,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
thermostat opening and closing,открытие и закрытие термостата,candidate,cooling,N165_D2_CORPUS,high,N165_CORPUS,term,
thermostat valve,клапан термостата,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
underheating,недостаточный прогрев,candidate,cooling,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
upper radiator hose,верхний шланг радиатора,candidate,cooling,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
water pump,насос охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
forward clutch,муфта переднего хода,candidate,cvt,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
primary pulley,ведущий шкив вариатора,candidate,cvt,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
pulley ratio,передаточное отношение шкивов,candidate,cvt,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
push belt,толкающий ремень вариатора,candidate,cvt,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
reverse brake,тормоз заднего хода,candidate,cvt,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
secondary pulley,ведомый шкив вариатора,candidate,cvt,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
steel belt,стальной ремень вариатора,candidate,cvt,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
variator,вариатор,candidate,cvt,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
cybersecurity management system,система управления кибербезопасностью,candidate,cybersecurity,UNECE_ADS,medium,UNECE_ADS,term,
hardware security module,аппаратный модуль безопасности,candidate,cybersecurity,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
intrusion detection system,система обнаружения вторжений,candidate,cybersecurity,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
intrusion detection system manager,менеджер системы обнаружения вторжений,candidate,cybersecurity,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
key management,управление ключами,candidate,cybersecurity,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
secure boot,безопасная загрузка,candidate,cybersecurity,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
secure onboard communication,защищённая бортовая связь,candidate,cybersecurity,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
threat analysis and risk assessment,анализ угроз и оценка рисков,candidate,cybersecurity,ISO_TC22,medium,ISO_TC22,term,
clutch actuator,исполнительный механизм сцепления,candidate,dct,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
dual clutch,двойное сцепление,candidate,dct,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
even gear clutch,сцепление чётных передач,candidate,dct,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
mechatronic unit,мехатронный модуль,candidate,dct,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
odd gear clutch,сцепление нечётных передач,candidate,dct,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
shift actuator,исполнительный механизм переключения передач,candidate,dct,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
scan tool,диагностический прибор,candidate,diagnostic_tools,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
check for diagnostic trouble codes,проверить наличие диагностических кодов неисправностей,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
clear diagnostic information,очистка диагностической информации,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
clear diagnostic trouble codes,удалить диагностические коды неисправностей,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
communication control,управление связью,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
diagnostic session,диагностический сеанс,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
diagnostic session control,управление диагностическим сеансом,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
diagnostic tool,диагностический прибор,candidate,diagnostics,N165_D2_CORPUS,high,N165_CORPUS,term,
diagnostic trouble code,диагностический код неисправности,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
diagnostics over Internet Protocol,диагностика поверх интернет-протокола,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
ECU reset,сброс электронного блока управления,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
electrical fault,электрическая неисправность,candidate,diagnostics,N165_D2_CORPUS,high,N165_CORPUS,term,
engine speed remains stable,частота вращения двигателя остаётся стабильной,candidate,diagnostics,N165_D2_CORPUS,high,N165_CORPUS,term,
fault memory,память неисправностей,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
freeze frame data,данные стоп-кадра,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fuel leakage trace,следы утечки топлива,candidate,diagnostics,N165_D2_CORPUS,high,N165_CORPUS,term,
implausible signal,недостоверный сигнал,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
input output control by identifier,управление вводом-выводом по идентификатору,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
intermittent fault,периодически возникающая неисправность,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
live data,текущие параметры,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
looseness or instability,ослабление крепления или неустойчивость,candidate,diagnostics,N165_D2_CORPUS,medium,N165_CORPUS,term,
mechanical fault,механическая неисправность,candidate,diagnostics,N165_D2_CORPUS,high,N165_CORPUS,term,
negative response code,код отрицательного ответа,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
obstruction,посторонний предмет,candidate,diagnostics,N165_D2_CORPUS,medium,N165_CORPUS,term,
on-board diagnostics,бортовая диагностика,candidate,diagnostics,COVESA_VSS_6,medium,COVESA_VSS_6,term,
permanent fault,постоянная неисправность,candidate,diagnostics,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
read data by identifier,чтение данных по идентификатору,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
read DTC information,чтение информации о кодах неисправностей,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
request download,запрос загрузки данных в блок,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
request upload,запрос выгрузки данных из блока,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
routine control,управление процедурой,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
security access,доступ с проверкой безопасности,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
tester present,поддержание диагностического сеанса,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
transfer data,передача данных,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
unified diagnostic services,унифицированные диагностические службы,candidate,diagnostics,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
write data by identifier,запись данных по идентификатору,candidate,diagnostics,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
common rail,аккумуляторная топливная рампа,candidate,diesel,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
fuel metering valve,дозирующий клапан топлива,candidate,diesel,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
glow plug,свеча накаливания,candidate,diesel,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
glow plug control module,блок управления свечами накаливания,candidate,diesel,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
injector leak-off line,сливной топливопровод форсунок,candidate,diesel,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
rail pressure sensor,датчик давления в топливной рампе,candidate,diesel,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
front track width,колея передних колёс,candidate,dimensions,N165_D2_CORPUS,high,N165_CORPUS,term,
ground clearance,дорожный просвет,candidate,dimensions,N165_D2_CORPUS,high,N165_CORPUS,term,
rear track width,колея задних колёс,candidate,dimensions,N165_D2_CORPUS,high,N165_CORPUS,term,
vehicle height,высота автомобиля,candidate,dimensions,N165_D2_CORPUS,high,N165_CORPUS,term,
vehicle length,длина автомобиля,candidate,dimensions,N165_D2_CORPUS,high,N165_CORPUS,term,
vehicle width,ширина автомобиля,candidate,dimensions,N165_D2_CORPUS,high,N165_CORPUS,term,
wheelbase,колёсная база,candidate,dimensions,N165_D2_CORPUS,high,N165_CORPUS,term,
boot clamp,хомут защитного чехла,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
center bearing,промежуточная опора карданного вала,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
center differential,межосевой дифференциал,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
constant velocity joint,шарнир равных угловых скоростей,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
differential,дифференциал,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
differential carrier,корпус дифференциала,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
differential lock,блокировка дифференциала,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
differential pinion,сателлит дифференциала,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
differential side gear,полуосевая шестерня дифференциала,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
drive pinion,ведущая шестерня главной передачи,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
drive shaft,приводной вал,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
final drive ratio,передаточное число главной передачи,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
flange yoke,фланцевая вилка,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
half shaft,полуось,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
high range,повышающий ряд,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
inner CV joint,внутренний ШРУС,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
joint boot,защитный чехол шарнира,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
limited-slip differential,дифференциал повышенного трения,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
low range,понижающий ряд,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
multi-plate clutch,многодисковая муфта,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
outer CV joint,наружный ШРУС,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
phasing marks,метки взаимного положения,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
pinion shaft,ось сателлитов,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
propeller shaft,карданный вал,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
runout,радиальное биение,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
slip yoke,скользящая вилка,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
spline,шлицевое соединение,candidate,driveline,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
splined shaft,шлицевой вал,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
transfer case,раздаточная коробка,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
transfer case housing,картер раздаточной коробки,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
tripod joint,трипоидный шарнир,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
universal joint,карданный шарнир,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
viscous coupling,вязкостная муфта,candidate,driveline,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
alternator,генератор,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
alternator pulley,шкив генератора,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery,аккумуляторная батарея,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery cable,провод аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery case,корпус аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery cell,аккумуляторный элемент,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery hold-down clamp,прижимная планка аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery terminal,клемма аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery tray,поддон аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
battery voltage,напряжение аккумуляторной батареи,candidate,electrical,N165_D2_CORPUS,high,N165_CORPUS,term,
body wire harness,кузовной жгут проводов,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
branch harness,ответвительный жгут проводов,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
carbon brush,угольная щётка,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
charging system,система зарядки,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
circuit breaker,автоматический выключатель,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
connector housing,корпус разъёма,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
connector terminal,контакт разъёма,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
continuity test,проверка целостности цепи,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
cranking voltage,напряжение при прокручивании,candidate,electrical,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
engine wire harness,жгут проводов двигателя,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fuse,предохранитель,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fuse box,блок предохранителей,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
fusible link,плавкая вставка,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
ground circuit,цепь массы,candidate,electrical,EDITORIAL_CORE_2026 | N155_D2_CORPUS,high,EDITORIAL_CORE_2026 | N155_CORPUS,term,
ground point,точка массы,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
ground strap,перемычка массы,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
high resistance connection,соединение с повышенным сопротивлением,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
high-power electrical loads,мощные электрические потребители,candidate,electrical,N165_D2_CORPUS,high,N165_CORPUS,term,
ignition switch,выключатель зажигания,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
insulation resistance,сопротивление изоляции,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
junction connector,соединительный разъём,candidate,electrical,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
main relay,главное реле,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
negative terminal,отрицательная клемма,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
normally closed contact,нормально замкнутый контакт,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
normally open contact,нормально разомкнутый контакт,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
open circuit,обрыв цепи,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
open-circuit voltage,напряжение холостого хода,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
overrunning clutch,обгонная муфта,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
parasitic current draw,ток утечки при выключенном зажигании,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
pinion gear,ведущая шестерня стартера,candidate,electrical,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
positive terminal,положительная клемма,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
power supply circuit,цепь питания,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rectifier,выпрямитель,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
reference voltage,опорное напряжение,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
relay box,блок реле,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rotor winding,обмотка ротора,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
secondary lock,вторичный фиксатор разъёма,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
shielded cable,экранированный кабель,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
short to ground,короткое замыкание на массу,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
short to power,короткое замыкание на питание,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
signal circuit,сигнальная цепь,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
slip ring,контактное кольцо,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
start button,кнопка запуска двигателя,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
starter drive,привод стартера,candidate,electrical,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
starter motor,стартер,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
starter relay,реле стартера,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
starter solenoid,тяговое реле стартера,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
state of charge,степень заряженности,candidate,electrical,EDITORIAL_CORE_2026 | COVESA_VSS_6,high,EDITORIAL_CORE_2026 | COVESA_VSS_6,term,
stator winding,обмотка статора,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
terminal lock,фиксатор контакта,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
twisted pair,витая пара,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
voltage drop,падение напряжения,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
voltage regulator,регулятор напряжения,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
weatherproof connector,герметичный разъём,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
wire harness,жгут проводов,candidate,electrical,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
A-pillar upper trim panel,верхняя облицовка стойки A,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
assist grip,поручень салона,candidate,electrical.antenna,N155_D2_CORPUS | EDITORIAL_CORE_2026,high,N155_CORPUS | EDITORIAL_CORE_2026,component,поручень
B-pillar lower trim panel assembly,нижняя облицовка стойки B в сборе,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
B-pillar upper trim panel assembly,верхняя облицовка стойки B в сборе,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
C-pillar upper trim panel assembly,верхняя облицовка стойки C в сборе,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
door opening seal,уплотнитель дверного проёма,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
door sill trim panel,накладка порога дверного проёма,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
immobilizer coil,катушка иммобилайзера,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
interior rearview mirror trim cover,декоративная крышка внутреннего зеркала заднего вида,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
keyless vehicle antenna,антенна системы бесключевого доступа,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
luggage compartment cover plate,панель пола багажного отделения,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
luggage compartment trim panel assembly,облицовка багажного отделения в сборе,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
overhead console unit,потолочная консоль в сборе,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
radio frequency antenna,радиочастотная антенна,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
radio frequency antenna connector,разъём радиочастотной антенны,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
radio frequency antenna replacement,замена радиочастотной антенны,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,procedure,
rear bumper harness,жгут проводов заднего бампера,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
rear bumper lower body,нижняя часть заднего бампера,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
rear keyless vehicle antenna,задняя антенна системы бесключевого доступа,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
rear overhead console,задняя потолочная консоль,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
rear seat backrest assembly,спинка заднего сиденья в сборе,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
rear seat cushion,подушка заднего сиденья,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
rear wheel arch trim panel,накладка задней колёсной арки,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
roof harness,жгут проводов крыши,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
roof harness connector,разъём жгута проводов крыши,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
roof interior trim panel,обивка потолка,candidate,electrical.antenna,N155_D2_CORPUS,high,N155_CORPUS,component,
